artigoEmPeriodico	2014		Chromatographic analysis and antioxidant capacity of Tabernaemontana catharinensis.	Natural Product Communications	BOLIGON, A. A. ; PIANA, M. ; Schwanz, T. G. ; PEREIRA, R. P. ; ROCHA, J. B. T. ; ATHAYDE, M. L. ; ATHAYDE, M. L.	B3	
artigoEmPeriodico	2013	http://dx.doi.org/10.1155/2013/653185	A Single Consumption of High Amounts of the Brazil Nuts Improves Lipid Profile of Healthy Volunteers	Journal of Nutrition and Metabolism	Colpo, Elisângela ; VILANOVA, CARLOS DALTON DE AVILA ; BRENNER REETZ, LUIZ GUSTAVO ; MEDEIROS FRESCURA DUARTE, MARTA MARIA ; FARIAS, IRIA LUIZA GOMES ; IRINEU MULLER, EDSON ; MULLER, ALINE LIMA HERMES ; MORAES FLORES, ERICO MARLON ; WAGNER, ROGER ; DA ROCHA, JOÃO BATISTA TEIXEIRA	Qualis nao identificado	Journal of Nutrition and Metabolism
artigoEmPeriodico	2013	http://dx.doi.org/10.1139/apnm-2012-0230	Antioxidant effect of organic purple grape juice on exhaustive exercise	Applied Physiology, Nutrition and Metabolism (Print)	DALLA CORTE, C. L. ; DALLA CORTE, CRISTIANE L. ; DE CARVALHO, NÉLSON R. ; AMARAL, GUILHERME P. ; PUNTEL, GUSTAVO O. ; SILVA, LUIZ FERNANDO A. ; RETAMOSO, LEANDRO T. ; ROYES, LUIZ FERNANDO F. ; BRESCIANI, GUILHERME B. ; DA CRUZ, IVANA B.M. ; ROCHA, J. B. T. ; BARRIO LERA, JUAN PABLO ; SOARES, FÉLIX A.A.	B1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1155/2013/983821	Effects of Diphenyl Diselenide on Methylmercury Toxicity in Rats	BioMed Research International	DALLA CORTE, CRISTIANE L. ; Wagner, Caroline ; Sudati, Jéssie H. ; COMPARSI, BRUNA ; LEITE, GERLANIA O. ; Busanello, Alcindo ; Soares, Félix A. A. ; ASCHNER, Michael ; ROCHA, JOÃO B. T.	Qualis nao identificado	BioMed Research International
artigoEmPeriodico	2013	http://dx.doi.org/10.3390/molecules18078342	HPLC Analysis of Phenolics Compounds and Antioxidant Capacity of Leaves of Vitex megapotamica (Sprengel) Moldenke	Molecules (Basel. Online)	DE BRUM, THIELE ; ZADRA, MARINA ; PIANA, MARIANA ; BOLIGON, ALINE ; FRÖHLICH, JANAINA ; DE FREITAS, ROBSON ; STEFANELLO, SÍLVIO ; FROEDER, AMANDA ; BELKE, BIANCA ; NUNES, LETÍCIA ; DA SILVA JESUS, ROBERTA ; MACHADO, MICHEL ; TEIXEIRA DA ROCHA, JOÃO ; SOARES, FÉLIX ; ATHAYDE, MARGARETH	B1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1007/s11064-013-1110-4	Diphenyl Diselenide Prevents Cortico-cerebral Mitochondrial Dysfunction and Oxidative Stress Induced by Hypercholesterolemia in LDL Receptor Knockout Mice	Neurochemical Research	de Oliveira, Jade ; MOREIRA, EDUARDO LUIZ GASNHAR ; Mancini, Gianni ; Hort, Mariana Appel ; Latini, Alexandra ; Ribeiro-do-Valle, Rosa Maria ; Farina, Marcelo ; DA ROCHA, JOÃO BATISTA TEIXEIRA ; BEM, ANDREZA FABRO	B1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.sajb.2013.04.010	Hypoglycemic, antiperoxidative and antihyperlipidemic effects of saponins from Solanum anguivi Lam	fruits in alloxan-induced diabetic rats. South African Journal of Botany	ELEKOFEHINTI, O.O. ; KAMDEM, J.P. ; Kade, I.J. ; Rocha, J.B.T. ; ADANLAWO, I.G.	B2	South African Journal of Botany
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/s2221-1691(13)60152-5	African eggplant (Solanum anguivi Lam.) fruit with bioactive polyphenolic compounds exerts in vitro antioxidant properties and inhibits Ca2+-induced mitochondrial swelling	Asian Pacific Journal of Tropical Biomedicine	ELEKOFEHINTI, OLUSOLA OLALEKAN ; KAMDEM, JEAN PAUL ; BOLINGON, ALINE AUGUSTI ; Athayde, Margareth Linde ; LOPES, SEEGER RODRIGO ; WACZUK, EMILY PANSERA ; Kade, Ige Joseph ; ADANLAWO, ISAAC GBADURA ; Rocha, Joao Batista Teixeira	Qualis nao identificado	Asian Pacific Journal of Tropical Biomedicine
artigoEmPeriodico	2013	http://dx.doi.org/10.1002/jat.2855	Toxicity of ethylmercury (and Thimerosal): a comparison with methylmercury	JAT. Journal of Applied Toxicology,	FARINA, M. ; Dórea, José G. ; FARINA, M. ; ROCHA, J. B. T.	B1	JAT. Journal of Applied Toxicology
artigoEmPeriodico	2013	http://dx.doi.org/10.3109/15368378.2012.721847	Irrigation of Solanum lycopersicum L	with magnetically treated water increases antioxidant properties of its tomato fruits. Electromagnetic Biology and Medicine	FERRER DUBOIS, AE ; LEITE, GO ; ROCHA, JBT	Qualis nao identificado	with magnetically treated water increases antioxidant properties of its tomato fruits. Electromagnetic Biology and Medicine
artigoEmPeriodico	2013		DIGESTÃO: O QUE COMEMOS E O QUE BEBEMOS? UM RELATO DE EXPERIÊNCIA NO ENSINO FUNDAMENTAL	Revista Ciências Idéias	FIGUEIRA, A. C. M. ; ROCHA, J. B. T.	Qualis nao identificado	Revista Ciências Idéias
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.cbi.2013.08.002	Protective effects of diphenyl diselenide in a mouse model of brain toxicity	Chemico-Biological Interactions (Print)	Glaser, Viviane ; MORITZ, BETTINA ; SCHMITZ, ARIANA ; DAFRÉ, ALCIR LUIZ ; Nazari, Evelise Maria ; RAUH MÜLLER, YARA MARIA ; Feksa, Luciane ; de Bem, Andreza Fabro ; Farina, Marcelo ; DA ROCHA, JOÃO BATISTA TEIXEIRA ; Latini, Alexandra	B1	Chemico Biological Interactions (Print)
artigoEmPeriodico	2013	http://dx.doi.org/10.1007/s11064-013-1147-4	Selenium Compounds Prevent Amyloid β-Peptide Neurotoxicity in Rat Primary Hippocampal Neurons	Neurochemical Research	GODOI, GABRIELA LOREA ; OLIVEIRA PORCIÚNCULA, LISIANE ; SCHULZ, JANAÍNA FAGUNDES ; KAUFMANN, FERNANDA NEUTZLING ; ROCHA, JOÃO BATISTA ; SOUZA, DIOGO ONOFRE GOMES ; Ghisleni, Gabriele ; ALMEIDA, HIRAM LARANGEIRA	B1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.neuro.2012.10.015	Disrupted cytoskeletal homeostasis, astrogliosis and apoptotic cell death in the cerebellum of preweaning rats injected with diphenyl ditelluride	Neurotoxicology (Park Forest South)	Heimfarth, Luana ; Loureiro, Samanta Oliveira ; DUTRA, MÁRCIO FERREIRA ; PETENUZZO, LETÍCIA ; de Lima, Bárbara Ortiz ; FERNANDES, CAROLINA GONÇALVES ; DA ROCHA, JOÃO BATISTA TEIXEIRA ; Pessoa-Pureur, Regina	Qualis nao identificado	Neurotoxicology (Park Forest South)
artigoEmPeriodico	2013	http://dx.doi.org/10.1007/s11064-013-0975-6	Gallic Acid Modulates Cerebral Oxidative Stress Conditions and Activities of Enzyme-Dependent Signaling Systems in Streptozotocin-Treated Rats	Neurochemical Research	KADE, I. J. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.cbi.2013.07.014	In vitro glutathione peroxidase mimicry of ebselen is linked to its oxidation of critical thiols on key cerebral suphydryl proteins - A novel component of its GPx-mimic antioxidant mechanism emerging from its thiol-modulated toxicology and pharmacology	Chemico-Biological Interactions (Print)	Kade, I.J. ; BALOGUN, B.D. ; Rocha, J.B.T.	B1	Chemico Biological Interactions (Print)
artigoEmPeriodico	2013	http://dx.doi.org/10.1007/s12640-012-9347-2	Estrogen Attenuates Manganese-Induced Glutamate Transporter Impairment in Rat Primary Astrocytes	Neurotoxicity Research	Lee, Eunsook ; Sidoryk-Wegrzynowicz, Marta ; FARINA, M. ; Farina, Marcelo ; ROCHA, J. B. T. ; Aschner, Michael	Qualis nao identificado	Neurotoxicity Research
artigoEmPeriodico	2013	http://dx.doi.org/10.1371/journal.pone.0055668	Swimming Training Induces Liver Mitochondrial Adaptations to Oxidative Stress in Rats Submitted to Repeated Exhaustive Swimming Bouts	Plos One	LIMA, FREDERICO D. ; STAMM, DANIEL N. ; DELLA-PACE, IURI D. ; Dobrachinski, Fernando ; DE CARVALHO, NÉLSON R. ; ROYES, LUIZ FERNANDO F. ; Soares, Félix A. ; ROCHA, JOÃO B. ; GONZÁLEZ-GALLEGO, JAVIER ; BRESCIANI, GUILHERME	A1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1155/2013/164215	Biological Activities and Chemical Characterization of Cordia verbenacea DC	as Tool to Validate the Ethnobiological Usage. Evidence-Based Complementary and Alternative Medicine (Print)	MATIAS, EDINARDO FAGNER FERREIRA ; ALVES, ERIVÂNIA FERREIRA ; SANTOS, BEATRIZ SOUSA ; SOBRAL DE SOUZA, CELESTINA ELBA ; ALENCAR FERREIRA, JOÃO VICTOR DE ; SANTOS DE LAVOR, ANNE KARYZIA LIMA ; FIGUEREDO, FERNANDO GOMES ; FERREIRA DE LIMA, LUCIENE ; VIEIRA DOS SANTOS, FRANCISCO ANTÔNIO ; NEVES PEIXOTO, FLÓRIDO SAMPAIO ; VIANA COLARES, ARACÉLIO ; AUGUSTI BOLIGON, ALINE ; SARAIVA, ROGÉRIO DE AQUINO ; Athayde, Margareth Linde ; DA ROCHA, JOÃO BATISTA TEIXEIRA ; ALENCAR MENEZES, IRWIN ROSE ; DOUGLAS MELO COUTINHO, HENRIQUE ; DA COSTA, JOSÉ GALBERTO MARTINS	Qualis nao identificado	as Tool to Validate the Ethnobiological Usage. Evidence-Based Complementary and Alternative Medicine (Print)
artigoEmPeriodico	2013	http://dx.doi.org/10.3109/15376516.2013.834015	Effects of diphenyl diselenide and diphenyl ditellurite on chicken embryo development	Toxicology Mechanisms and Methods	PRAUCHNER, CARLOS ANDRÉ ; de Souza Prestes, Alessandro ; NOGUEIRA, Cristina W. ; ROCHA, JOÃO B. T.	Qualis nao identificado	Toxicology Mechanisms and Methods
artigoEmPeriodico	2013	http://dx.doi.org/10.1111/joa.12009	Cryotherapy reduces skeletal muscle damage after ischemia/reperfusion in rats	Journal of Anatomy (Print)	Puntel, Gustavo O. ; Carvalho, Nélson R. ; Dobrachinski, Fernando ; SALGUEIRO, ANDRÉIA C. F. ; PUNTEL, ROBSON L. ; FOLMER, Vanderlei ; BARBOSA, NILDA B. V. ; ROYES, LUIZ F. F. ; SOARES, F. A. A. ; Soares, Félix A. A.	Qualis nao identificado	Journal of Anatomy (Print)
artigoEmPeriodico	2013	http://dx.doi.org/10.1007/s12640-012-9365-0	Organochalcogens Inhibit Mitochondrial Complexes I and II in Rat Brain: Possible Implications for Neurotoxicity	Neurotoxicity Research	PUNTEL, R. L. ; PUNTEL, ROBSON LUIZ ; ROOS, Daniel Henrique ; SEEGER, RODRIGO LOPES ; ASCHNER, Michael ; ROCHA, J. B. T.	Qualis nao identificado	Neurotoxicity Research
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.tiv.2012.10.011	Mitochondrial electron transfer chain complexes inhibition by different organochalcogens	Toxicology in Vitro	Puntel, Robson L. ; Roos, Daniel H. ; Seeger, Rodrigo Lopes ; Rocha, João B.T.	B1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1590/s1516-73132013000300011	Prática docente em educação sexual em uma escola pública de Juazeiro do Norte, CE, Brasil	Ciência Educação	QUIRINO, GLAUBERTO DA SILVA ; ROCHA, JOÃO BATISTA TEIXEIRA DA	Qualis nao identificado	Ciência Educação
artigoEmPeriodico	2013		Hydrochlorothiazide and high-fat diets reduce plasma magnesium levels and increase hepatic oxidative stress in rats.	Magnesium Research	RIBEIRO, M. C. P. ; AVILA, D. S. ; BARBOSA, N. B. V. ; MEINERZ, D. F. ; WACZUK, E. P. ; WACZUK, E. P. ; HASSAN, W. ; ROCHA, J. B. T.	Qualis nao identificado	Magnesium Research
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.chemosphere.2013.01.084	Is the lobster cockroach Nauphoeta cinerea a valuable model for evaluating mercury induced oxidative stress?	Chemosphere (Oxford)	RODRIGUES, N.R. ; NUNES, M.E.M. ; SILVA, D.G.C. ; ZEMOLIN, A.P.P. ; MEINERZ, D. F. ; MEINERZ, D.F. ; CRUZ, L.C. ; PEREIRA, A.B. ; ROCHA, J. B. T. ; POSSER, T. ; FRANCO, J.L.	A2	
artigoEmPeriodico	2013	http://dx.doi.org/10.1007/s11192-013-1017-5	Brazilian scientific production in areas of biological sciences: a comparative study on the modalities of full doctorate in Brazil or abroad	Scientometrics (Online)	ROOS, DANIEL HENRIQUE ; CALABRÓ, LUCIANA ; JESUS, SANDRA LOPES ; Souza, Diogo Onofre ; SOUZA, DO ; ROCHA, J. B. T. ; BARBOSA, NILDA VARGAS	Qualis nao identificado	Scientometrics (Online)
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.etap.2013.07.001	An in vivo insight to the toxicological profile of various organotellurides	Environmental Toxicology and Pharmacology	SCHIAR, VIVIANE PATRÍCIA P. ; dos Santos, Danúbia B. ; DUARTE, MARTA M.M.F. ; VARGAS, FABRÍCIO ; RIBEIRO, MARINEI C.P. ; NOGUEIRA, Cristina W. ; ZENI, Gilson ; HASSAN, WASEEM ; DA ROCHA, JOÃO B.T.	B2	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.indcrop.2012.07.058	Phytochemical characterization and in vitro antioxidant properties of Lantana camara L	and Lantana montevidensis Briq. Industrial Crops and Products (Print)	SOUSA, ERLÂNIO O. ; Rocha, João B.T. ; BARROS, LUIZ M. ; BARROS, ADRIANA R.C. ; Costa, José G.M.	B1	Industrial Crops and Products (Print)
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.tiv.2013.03.001	Evaluation of in vitro antioxidant effect of new mono and diselenides	Toxicology in Vitro	STEFANELLO, SÍLVIO TERRA ; PRESTES, ALESSANDRO S. ; OGUNMOYOLE, TADE ; SALMAN, SYED M. ; SCHWAB, RICARDO S. ; BRENDER, CAROLINE R. ; DORNELLES, LUCIANO ; ROCHA, J. B. T. ; SOARES, F. A. A. ; Soares, Félix A.A.	B1	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.ejps.2013.01.001	Disubstituted diaryl diselenides as potential atheroprotective compounds: Involvement of TrxR and GPx-like systems	European Journal of Pharmaceutical Sciences	Straliotto, Marcos Raniel ; de Oliveira, Jade ; Mancini, Gianni ; BAINY, AFONSO C.D. ; Latini, Alexandra ; Deobald, Anna Maria ; Rocha, João B.T. ; de Bem, Andreza Fabro	A2	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.biochi.2013.04.008	Diphenyl diselenide modulates oxLDL-induced cytotoxicity in macrophage by improving the redox signaling	Biochimie (Paris. Print)	Straliotto, Marcos Raniel ; Hort, Mariana Appel ; FIUZA, BIANCA ; ROCHA, J. B. T. ; FARINA, Marcelo ; CHIABRANDO, GUSTAVO ; BEM, A.F. ; de Bem, Andreza Fabro	A2	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.neuro.2013.04.006	Valeriana officinalis attenuates the rotenone-induced toxicity in Drosophila melanogaster	Neurotoxicology (Park Forest South)	Sudati, Jéssie Haigert ; VIEIRA, FRANCIELLI ARAÚJO ; PAVIN, SANDRA SARTORETTO ; Dias, Glaecir Roseni Mundstock ; SEEGER, RODRIGO LOPES ; GOLOMBIESKI, RONALDO ; Athayde, Margareth Linde ; SOARES, F. A. A. ; Soares, Félix Antunes ; ROCHA, J. B. T. ; Barbosa, Nilda Vargas	Qualis nao identificado	Neurotoxicology (Park Forest South)
artigoEmPeriodico	2013		Public School versus Private School: An Interdisciplinary Perception of Students regarding the Teaching of Sciences and Physical Education	Education	WEBER, J. V. ; LIMA, A. S. ; SOARES, F. A. A. ; SOARES, F^ ; ROCHA, J. B. T.	Qualis nao identificado	Education
artigoEmPeriodico	2013	http://dx.doi.org/10.1155/2013/791795	Major Components of Energy Drinks (Caffeine, Taurine, and Guarana) Exert Cytotoxic Effects on Human Neuronal SH-SY5Y Cells by Decreasing Reactive Oxygen Species Production	Oxidative Medicine and Cellular Longevity (Print)	ZEIDÁN-CHULIÁ, FARES ; GELAIN, DANIEL PENS ; KOLLING, EDUARDO ANTÔNIO ; RYBARCZYK-FILHO, JOSÉ LUIZ ; AMBROSI, PRISCILLA ; RESENDE TERRA, SILVIA ; PIRES, ANDRÉ SIMÕES ; DA ROCHA, JOÃO BATISTA TEIXEIRA ; ANTÔNIO BEHR, GUILHERME ; FONSECA MOREIRA, JOSÉ CLÁUDIO	B1	Oxidative Medicine and Cellular Longevity (Online)
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.tiv.2011.10.006	The antioxidant properties of different phthalocyanines	Toxicology in Vitro	Amaral, Guilherme Pires ; Puntel, Gustavo Orione ; Dalla Corte, Cristiane Lenz ; Dobrachinski, Fernando ; Barcelos, RÃ´mulo Pillon ; Bastos, Luiza Lena ; Ã vila, Daiana Silva ; ROCHA, J. B. T. ; da Silva, Edegar Ozorio ; Puntel, Robson Luiz ; Soares, FÃ lix Alexandre Antunes	B1	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.freeradbiomed.2012.02.044	Organotellurium and organoselenium compounds attenuate Mn-induced toxicity in Caenorhabditis elegans by preventing oxidative stress	Free Radical Biology Medicine	Avila, Daiana Silva ; Benedetto, Alexandre ; Au, Catherine ; Manarin, Flávia ; Erikson, Keith ; Soares, Felix Antunes ; Rocha, João Batista Teixeira ; Aschner, Michael	A1	Free Radical Biology & Medicine
artigoEmPeriodico	2012		Ascorbic acid oxidation of thiol groups from dithiotreitol is mediated by its conversion to dehydroascorbic acid	EXCLI Journal	Barbosa, NBV. ; Barbosa, NBV. ; LISSNER, L. A. ; KLIMACZEWSKI, C. V. ; Colpo, E ; ROCHA, J. B. T.	Qualis nao identificado	EXCLI Journal
artigoEmPeriodico	2012	http://dx.doi.org/10.1002/jat.1648	Cd modifies hepatic Zn deposition and modulates Î´-ALA-D activity and MT levels by distinct mechanisms	JAT. Journal of Applied Toxicology	Braga, Marcos Martins ; Dick, Tuiskon ; Oliveira, Diogo Losch ; Guerra, Adriele Scopel ; Leite, Marina Concli ; Ardais, Ana Paula ; Souza, Diogo Onofre ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s12010-011-9492-8	Kinetics of Alloxan-Induced Inhibition on Î´-Aminolevulinate Dehydratase Activity in Mouse Liver Homogenates	Applied Biochemistry and Biotechnology	Brito, VerÃ´nica B. ; Folmer, Vanderlei ; Guerra, InÃªs Isabel R. ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.pbb.2012.01.007	Resveratrol reduces vacuous chewing movements induced by acute treatment with fluphenazine	Pharmacology, Biochemistry and Behavior	Busanello, Alcindo ; Peroza, Luis R. ; Wagner, Caroline ; Sudati, Jéssie H. ; Pereira, Romaiana P. ; Prestes, Alessandro de S. ; Rocha, João B.T. ; Fachinetto, Roselei ; Barbosa, Nilda B.V.	B1	
artigoEmPeriodico	2012	http://dx.doi.org/10.3109/13880209.2011.641981	Antioxidant properties of fruit extract are involved in the protective effect against cellular death induced by sodium nitroprusside in brain of rats	Pharmaceutical Biology	Colle, Dirleise ; Arantes, Letícia Priscilla ; Rauber, Ricardo ; de Mattos, Sérgio Edgar Campos ; ROCHA, J. B. T. ; Nogueira, Cristina Wayne ; Soares, Félix Alexandre Antunes	B4	
artigoEmPeriodico	2012	http://dx.doi.org/10.3390/molecules17010934	Antioxidant Effect of Stryphnodendron rotundifolium Martius Extracts from Cariri-CearÃ State (Brazil): Potential Involvement in Its Therapeutic Use	Molecules (Basel. Online)	Costa, JosÃ Galberto Martins da ; Leite, GerlÃ nia de Oliveira ; Dubois, Albys Ferrer ; Seeger, Rodrigo Lopes ; Boligon, Aline Augusti ; Athayde, Margareth Linde ; Campos, Adriana Rolim ; Rocha, J.B.T.	B1	
artigoEmPeriodico	2012		Percepções de professores de ciências, matemática e educação física sobre suas práticas em escolas públicas	Revista Ciências Idéias	COUTINHO, R. X. ; SANTOS, W. M. ; FOLMER, V. ; FOLMER, V ; ROCHA, J. B. T. ; Puntel, R. L.	Qualis nao identificado	Revista Ciências Idéias
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s11192-012-0645-5	Brazilian scientific production in science education	Scientometrics (Print)	Coutinho, Renato X. ; Dávila, Eliziane S. ; dos Santos, Wendel M. ; ROCHA, J. B. T. ; Souza, Diogo O. G. ; Folmer, Vanderlei ; Puntel, Robson L.	Qualis nao identificado	Scientometrics (Print)
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.brainres.2011.10.049	The combination of organoselenium compounds and guanosine prevents glutamate-induced oxidative stress in different regions of rat brains	Brain Research	Dalla Corte, Cristiane L. ; Bastos, Luíza L. ; Dobrachinski, Fernando ; Rocha, João B.T. ; Soares, Félix A.A.	B1	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.tet.2012.09.025	Diphenyl diselenide prevents methylmercury-induced mitochondrial dysfunction in rat liver slices	Tetrahedron (Oxford. Print)	DALLA CORTE, CRISTIANE L. ; SOARES, F. A. A. ; Soares, Félix A.A. ; Aschner, Michael ; ROCHA, J. B. T.	A2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s11064-012-0820-3	Cooperation of Non-Effective Concentration of Glutamatergic System Modulators and Antioxidant Against Oxidative Stress Induced by Quinolinic Acid	Neurochemical Research	Dobrachinski, Fernando ; Bastos, Luiza Lena ; Bridi, Jessika Cristina ; Corte, Cristiane Lenz Dalla ; Ávila, Daiana Silva ; ROCHA, J. B. T. ; Soares, Félix Alexandre Antunes	B1	
